Vine,Tray,TrayFruit,FruitNum,FruitUUID,ShootID,FruitPos,FloweringColour,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
5,226,13,,50067,20,4,y,m,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,97.10,D1762,7.0,1.2,70.3,31.5,99.8,71.3,28.8,99.9,6.8,5.9,11.2,,17.1,99.9,6.3,11.2,
5,226,14,,50068,20,5,y,m,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,94.34,D1763,6.5,1.1,73.1,32.2,100.4,73.6,33.3,100.5,7.1,7.3,10.2,,16.8,100.5,7.2,10.2,
5,226,15,,50069,20,6,y,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,85.41,D1764,6.0,1.1,71.5,34.9,100.2,71.7,32.9,100.2,5.6,6.8,11.5,,17.9,100.2,6.2,11.5,
5,226,16,,50070,20,7,y,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,98.86,D1765,6.6,1.2,71.1,29.8,99.9,72.0,31.5,99.5,5.8,6.3,11.5,,18.3,99.7,6.1,11.5,
5,226,17,,50071,21,1,y,n,-20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,101.51,D1766,7.3,1.3,73.5,30.4,100.2,72.9,30.6,100.4,7.1,7.5,11.0,,17.9,100.3,7.3,11,
5,226,18,,50072,21,2,y,n,-20,,x,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,101.22,D1767,7.2,1.3,74.9,28.7,100.9,73.2,30.2,101.8,7.4,7.6,9.8,,17.6,101.4,7.5,9.8,
5,227,1,,50073,21,3,y,l,-20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,96.08,D1665,6.3,1.1,71.6,32.2,99.9,72.7,25.8,100.4,6.0,6.0,13.5,,17.9,100.2,6.0,13.5,
5,227,2,,50074,21,4,y,n,-20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,86.45,D1666,6.4,1.2,74.6,26.4,99.9,71.2,31.5,100.9,6.1,6.5,11.5,,17.9,100.4,6.3,11.5,
5,227,3,,50075,21,5,w,l,-20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,84.90,D1667,6.9,1.2,71.4,34.3,100.6,71.1,32.1,100.2,6.9,6.1,12.5,,17.6,100.4,6.5,12.5,
5,227,4,,50076,22,1,w,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,94.72,D1668,7.6,1.3,73.8,30.7,103.2,73.8,33.2,104.3,8.0,8.4,9.5,,17.4,103.8,8.2,9.5,
5,227,5,,50077,22,2,w,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,89.64,D1669,7.6,1.3,74.5,27.6,100.6,73.4,31.4,102.2,7.5,7.4,9.0,,16.9,101.4,7.5,9,
5,227,6,,50078,22,3,y,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,100.34,D1670,7.0,1.2,73.4,32.6,102.1,72.8,30.6,100.7,7.5,8.4,9.0,,16.9,101.4,8.0,9,
5,227,7,,50079,22,4,w,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,93.86,D1671,7.5,1.3,73.1,28.3,99.0,73.2,30.9,101.7,6.8,6.5,10.0,,17.2,100.4,6.7,10,
5,227,8,,50080,22,5,w,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,78.36,D1672,5.7,0.9,70.8,29.3,100.1,72.2,27.4,99.9,7.3,5.7,10.0,,16.6,100.0,6.5,10,
5,227,9,,50081,23,1,w,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,84.99,D1673,7.2,1.2,72.1,28.8,102.7,70.0,32.4,104.0,7.0,6.5,9.5,,16.1,103.4,6.7,9.5,
5,227,10,,50082,23,2,w,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,87.25,D1674,7.4,1.2,72.9,23.1,100.2,72.0,25.9,100.8,7.0,6.6,9.5,,16.3,100.5,6.8,9.5,
5,227,11,,50083,23,3,w,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,93.83,D1675,7.5,1.2,70.6,32.1,102.7,71.7,25.3,100.4,7.4,7.2,9.5,,15.7,101.6,7.3,9.5,
5,227,12,,50084,23,4,w,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,83.92,D1676,5.9,1.0,72.1,29.3,101.3,70.5,26.0,101.0,7.0,6.7,9.5,,16.2,101.2,6.8,9.5,
5,227,13,,50085,24,1,y,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,92.48,D1677,7.3,1.3,71.4,34.9,103.3,71.4,27.6,100.6,8.0,7.2,11.0,,18.0,102.0,7.6,11,
5,227,14,,50086,24,2,y,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,91.78,D1678,7.1,1.3,72.4,29.9,100.9,72.5,27.7,100.9,6.7,6.1,11.0,,17.8,100.9,6.4,11,
5,227,15,,50087,24,3,y,s,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,91.68,D1679,6.9,1.2,72.8,31.3,101.5,73.8,26.1,99.5,7.0,6.7,11.0,,17.7,100.5,6.8,11,
5,227,16,,50088,24,4,y,s,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,83.48,D1680,6.3,1.1,72.1,25.6,100.0,71.3,29.2,100.1,7.8,7.1,11.0,,17.8,100.1,7.4,11,
5,227,17,,50089,24,5,y,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,84.37,D3747,6.7,1.2,72.1,30.8,99.0,71.2,32.2,100.6,7.6,7.6,11.0,,17.8,99.8,7.6,11,
5,227,18,,50090,24,6,y,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,227,,86.07,D3748,6.5,1.1,72.0,31.3,98.6,72.2,28.7,101.3,6.3,7.5,10.5,,17.0,100.0,6.9,10.5,
5,228,1,,50091,25,1,w,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,92.30,D1630,7.6,1.3,74.6,29.5,101.1,73.2,32.1,103.5,7.7,7.2,11.5,,17.5,102.3,7.5,11.5,
5,228,2,,50092,25,2,y,m,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,90.60,D1631,6.9,1.2,72.8,30.6,101.1,73.3,30.2,101.1,6.7,6.7,10.5,,17.0,101.1,6.7,10.5,
5,228,3,,50093,25,3,w,m,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,85.70,D1633,8.6,1.5,70.6,32.9,102.0,72.5,30.8,101.0,6.5,7.3,10.5,,17.8,101.5,6.9,10.5,
5,228,4,,50094,25,4,w,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,86.80,D1634,6.6,1.1,71.1,33.3,101.9,72.2,28.6,100.6,8.0,6.6,10.5,,16.6,101.3,7.3,10.5,
5,228,5,,50095,26,1,w,n,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,71.00,D1635,5.5,0.9,67.8,31.6,101.4,66.8,30.3,102.1,6.1,6.5,11.5,,16.4,101.8,6.3,11.5,
5,228,6,,50096,26,2,w,n,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,68.10,D1636,5.6,1.0,70.0,28.0,100.9,69.9,28.5,102.0,6.7,5.9,11.0,,16.9,101.5,6.3,11,
5,228,7,,50097,26,3,w,l,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,75.30,D1637,5.8,1.0,67.4,32.8,101.3,68.2,28.2,100.7,6.8,6.6,11.5,,16.9,101.0,6.7,11.5,
5,228,8,,50098,26,4,w,l,-30,,x,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,,,,,,,,,,,,,,,,,,,nf
5,228,9,,50099,28,1,w,m,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,103.20,D1632,7.6,1.3,73.9,26.5,100.0,74.8,23.9,99.6,7.2,6.4,11.0,,17.3,99.8,6.8,11,
5,228,10,,50100,28,2,w,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,228,,116.20,D1638,8.1,1.4,74.2,25.8,98.7,73.6,28.0,100.1,6.4,7.5,11.0,,17.9,99.4,6.9,11,
