vine_id,from,to,length,to_shoot_id,spur,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
1,368,369,70,243,,6,130,780,27,,,W,15,
1,369,370,100,244,,6,100,880,27,,,W,15,
1,370,371,100,245,,6,100,990,27,,,W,15,
1,371,372,160,246,,6,130,130,26,,,W,15,
1,372,373,100,247,,6,140,220,26,,,W,15,
1,373,374,160,248,,6,180,390,26,,,W,15,
1,374,375,110,249,,6,200,510,26,,,W,15,
1,375,376,40,250,,6,200,550,26,,,W,15,
1,376,377,220,251,,6,220,780,26,,,W,15,
1,377,378,440,252,,6,220,230,25,,,W,15,
1,378,379,180,253,,6,240,390,25,,,W,15,
1,379,380,90,254,,6,280,460,25,,,W,15,
1,380,381,80,255,,6,290,550,25,,,W,15,
1,381,382,70,256,,6,320,630,25,,,W,15,
1,324,383,180,,,,400,70,28,,16,,16,
1,383,384,80,,,,450,60,28,,,E,16,
1,384,385,50,,,,460,60,28,,,E,16,
1,385,386,40,,,,30,60,34,,,E,16,
1,386,387,30,,,,50,80,34,,,E,16,
1,387,388,30,,,,80,80,34,,,E,16,
1,388,389,70,257,,,130,140,34,,,E,16,
1,389,390,140,258,,,240,250,34,,,E,16,
1,390,391,80,259,,,280,350,34,,,E,16,
1,391,392,50,260,,,320,380,34,,,E,16,
1,392,393,80,261,,,350,470,34,,,E,16,
1,383,394,90,,,,20,20,34,,17,,17,
1,394,395,370,,,,70,340,33,,,W,17,
1,395,396,110,,,,70,430,33,,,W,17,
1,396,397,110,,,,130,480,33,,,W,17,
1,397,398,80,,,,110,530,33,,,W,17,
1,398,399,40,262,,,120,590,33,,,W,17,
1,399,400,40,263,,,120,620,33,,,W,17,
1,400,401,70,264,,,110,700,33,,,W,17,
1,401,402,100,265,,,100,780,33,,,W,17,
1,402,403,50,266,,,90,830,33,,,W,17,
1,394,404,80,,,,100,60,34,,18,,18,
1,404,405,70,,,,130,120,34,,,E,18,
1,405,406,150,,,,130,220,34,,,E,18,
1,406,407,100,,,,70,280,34,,,E,18,
1,407,408,40,267,,,70,310,34,,,E,18,
1,408,409,110,268,,,460,450,34,,,E,18,
1,404,410,100,,,,200,10,34,,19,,19,
1,410,411,10,,,,190,0,33,,,W,19,
1,411,412,90,,,,160,90,33,,,W,19,
1,412,413,60,,,,160,110,33,,,W,19,
1,413,414,110,269,,,140,190,33,,,W,19,
1,411,415,50,,,,220,40,33,,,W,19,
1,415,416,150,,,,300,60,34,,,E,19,
1,416,417,40,,,,330,60,34,,,E,19,
1,417,418,30,270,,,350,80,34,,,E,19,
1,418,419,30,271,,,400,90,34,,,E,19,
1,410,420,180,,,,380,20,34,,20,,20,
1,420,421,70,,,,390,70,34,,,E,20,
1,421,422,90,,,,450,120,34,,,E,20,
1,422,423,70,,,,480,170,34,,,E,20,
1,423,424,60,,,,490,220,34,,,E,20,
1,424,425,50,272,,,500,260,34,,,E,20,
1,425,426,130,273,,,470,360,34,,,E,20,
1,426,427,70,274,,,430,410,34,,,E,20,
1,420,428,100,,,,470,10,33,,21,,21,
1,428,429,60,,,,460,60,33,,,W,21,
1,429,430,200,,,,390,260,33,,,W,21,
1,430,431,210,,,,260,370,33,,,W,21,
1,431,432,190,,,,100,410,33,,,W,21,
1,432,433,80,275,,,110,470,33,,,W,21,
1,432,434,90,276,,,10,400,33,,,W,21,
1,434,435,100,,,,390,490,27,,,W,21,
1,435,436,130,277,,7,400,620,27,,,W,21,
1,436,437,110,278,,7,400,720,27,,,W,21,
1,437,438,80,279,,7,410,780,27,,,W,21,
1,438,439,170,280,,7,450,870,27,,,W,21,
1,439,440,160,281,,7,0,120,32,,,W,21,
1,440,441,180,282,,7,60,280,32,,,W,21,
1,441,442,70,283,,7,60,350,32,,,W,21,
1,442,443,50,284,,7,70,400,32,,,W,21,
1,443,444,80,285,,7,70,490,32,,,W,21,
1,444,445,170,286,,7,70,650,32,,,W,21,
1,445,446,100,287,,7,60,750,32,,,W,21,
1,446,447,190,288,,7,40,940,32,,,W,21,
1,447,448,130,289,,7,100,100,31,,,W,21,
1,448,449,120,290,,7,60,210,31,,,W,21,
1,449,450,360,291,,7,20,570,31,,,W,21,
1,450,451,100,292,,7,460,640,25,,,W,21,
1,431,452,150,,,,230,540,33,,,W,21,
1,452,453,180,,,,290,720,33,,,W,21,
1,453,454,100,293,,8,370,760,33,,,W,21,
1,454,455,110,294,,8,420,880,33,,,W,21,
1,455,456,400,295,,8,470,260,32,,,W,21,
1,456,457,230,296,,8,480,500,32,,,W,21,
1,457,458,70,297,,8,490,560,32,,,W,21,
1,458,459,250,298,,8,480,800,32,,,W,21,
1,459,460,90,299,,8,490,870,32,,,W,21,
