Vine,Tray,TrayFruit,FruitUUID,ShootUUID,Quadrant,QuadrantFromLeader,QuadrantFromTrunk,FruitPos,FloweringColour,FloweringDate,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
1,8,11,10137,1-64,3,1,3,2,p,2019-11-08,m,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,156.62,D0735,9.12,1.74,65.86,29.63,103.9,64.34,36.92,105.9,3.51,2.73,15,,19.07894737,104.9,3.12,15,
1,8,12,10138,1-64,3,1,3,3,p,2019-11-08,l,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,109.22,D0745,7.5,1.35,64.84,32.46,105.2,63.71,36.08,105.7,3.56,2.82,14.2,,18,105.45,3.19,14.2,
1,8,13,10139,1-65,3,1,3,1,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,137.54,D0746,9.61,1.9,65.32,40.38,105.8,64.81,41.1,107.3,2.81,3.06,14.8,,19.7710718,106.55,2.935,14.8,
1,8,14,10140,1-65,3,1,3,2,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,143.43,D0747,8.69,1.68,66.25,39.11,105.1,65.67,37.3,105.7,3.59,3.52,14.5,,19.33256617,105.4,3.555,14.5,
1,8,15,10141,1-65,3,1,3,3,w,2019-11-06,l,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,133.21,D0748,8.87,1.68,66.35,33.68,106,67.05,31.88,104.6,3.69,2.89,14.2,,18.94024803,105.3,3.29,14.2,
1,8,16,10142,1-65,3,1,3,4,w,2019-11-06,l,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,130.51,D0749,9.3,1.69,65.16,39.66,102.7,65.72,37.35,102.8,4.16,4.24,14,,18.17204301,102.75,4.2,14,
1,8,17,10143,1-319,4,1,3,1,w,2019-11-06,l,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,125.94,D0750,7.71,1.49,67.57,36.89,103.7,66.73,36.06,105.1,3.19,3.36,14.5,,19.32555123,104.4,3.275,14.5,
1,8,18,10144,1-319,4,1,3,2,w,2019-11-06,l,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,8,,90.38,D0751,5.64,0.96,58.17,41.69,110.3,55.97,43,112.1,4.65,2.83,12.8,,17.0212766,111.2,3.74,12.8,
1,9,1,10145,1-320,4,1,3,1,,,n,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,9,,124.56,D3074,5.25,1.07,63.47,32.31,102.3,64.59,33.2,102.5,2.96,2.17,16.5,,20.38095238,102.4,2.565,16.5,
1,9,2,10146,1-320,4,1,3,2,y,2019-11-04,n,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,9,,137.41,D3075,6.13,1.22,65.98,32.08,103.9,65.15,41.49,106.4,3.45,2.89,16,,19.90212072,105.15,3.17,16,
1,9,3,10147,1-320,4,1,3,3,w,2019-11-06,m,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,9,,134.24,D3076,5.73,1.2,66.97,37.14,104,67.93,34.07,102.2,3.01,2.59,16.5,,20.94240838,103.1,2.8,16.5,
1,9,4,10148,1-320,4,1,3,4,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,9,,134.22,D3077,5.34,1.11,65.22,35.82,103.5,67.93,40.86,104.7,3.34,4.05,16.5,,20.78651685,104.1,3.695,16.5,
